,Manufacturer,Model,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Sales_in_thousands
71,Lexus,GS300,32.075,Passenger,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,05-10-2012,94.9466984,12.698
72,Lexus,GS400,18.07297520661157,Passenger,46.305,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0,11/28/2012,125.0133574,3.334
73,Lexus,LS400,40.375,Passenger,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,3/29/2012,124.4467163,6.375
74,Lexus,LX470,18.07297520661157,Car,60.105,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0,10/30/2012,105.760458,9.126
75,Lexus,RX300,18.07297520661157,Car,34.605,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21.0,01-04-2012,91.94380156,51.238
76,Lincoln,Continental,20.525,Passenger,39.08,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,08-03-2012,113.5402069,13.798
77,Lincoln,Town car,21.725,Passenger,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,06-04-2012,93.9579169,48.911
78,Lincoln,Navigator,18.07297520661157,Car,42.66,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15.0,12/23/2012,123.9720467,22.925
79,Mitsubishi,Mirage,8.325,Passenger,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,4/23/2012,45.83218056,26.232
80,Mitsubishi,Eclipse,10.395,Passenger,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,11/24/2012,62.44196235,42.541
81,Mitsubishi,Galant,10.595,Passenger,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,1/29/2012,58.60677292,55.616
82,Mitsubishi,Diamante,16.575,Passenger,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,8/28/2012,84.83077858,5.711
83,Mitsubishi,3000GT,20.94,Passenger,25.45,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,6/29/2012,67.54415494,0.11
84,Mitsubishi,Montero,19.125,Car,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,1/17/2012,83.92081504,11.337
85,Mitsubishi,Montero Sport,13.88,Car,22.527,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,5/18/2012,70.66094179,39.348
86,Mercury,Mystique,8.8,Passenger,16.24,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,12/19/2012,50.99774761,14.351
87,Mercury,Cougar,13.89,Passenger,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,2/23/2012,51.11347426,26.529
88,Mercury,Sable,11.03,Passenger,19.035,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,9/22/2012,62.23996663,67.956
89,Mercury,Grand Marquis,14.875,Passenger,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,7/24/2012,80.65769646,81.174
90,Mercury,Mountaineer,20.43,Car,27.56,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,2/13/2008,85.94974425,27.609
91,Mercury,Villager,14.795,Car,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,10/20/2009,69.671461,20.38
92,Mercedes-B,C-Class,26.05,Passenger,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,4/24/2011,78.28073088,18.392
93,Mercedes-B,E-Class,41.45,Passenger,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,07-12-2011,98.2497375,27.602
94,Mercedes-B,S-Class,50.375,Passenger,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,6/13/2011,125.2738757,16.774
95,Mercedes-B,SL-Class,58.6,Passenger,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,3/17/2011,139.9822936,3.311
96,Mercedes-B,SLK,18.07297520661157,Passenger,38.9,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0,1/16/2011,82.80736193,7.998
97,Mercedes-B,SLK230,18.07297520661157,Passenger,41.0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0,08-06-2011,81.84896924,1.526
98,Mercedes-B,CLK Coupe,18.07297520661157,Passenger,41.6,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26.0,07-08-2011,92.92579177,11.592
99,Mercedes-B,CL500,18.07297520661157,Passenger,85.5,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0,04-11-2011,141.1009845,0.954
100,Mercedes-B,M-Class,18.07297520661157,Car,35.3,3.2,215.0,111.0,72.2,180.6,4.387,19.0,20.0,02-10-2011,90.49553213,28.976
101,Nissan,Sentra,8.45,Passenger,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,8/31/2011,50.24197791,42.643
102,Nissan,Altima,11.295,Passenger,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,08-02-2011,63.31372783,88.094
103,Nissan,Maxima,15.125,Passenger,26.249,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,05-06-2011,89.42782031,79.853
104,Nissan,Quest,15.38,Car,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,03-07-2011,71.17166413,27.308
105,Nissan,Pathfinder,17.81,Car,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,9/25/2011,72.29035508,42.574
106,Nissan,Xterra,18.07297520661157,Car,22.799,3.3,170.0,104.3,70.4,178.0,3.821,19.4,18.0,1/24/2011,69.78294434,54.158
107,Nissan,Frontier,18.07297520661157,Car,17.89,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18.0,8/27/2011,67.88927059,65.005
108,Oldsmobile,Cutlass,11.24,Passenger,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,5/31/2011,60.86161155,1.112
109,Oldsmobile,Intrigue,18.07297520661157,Passenger,24.15,3.5,215.0,109.0,73.6,195.9,3.455,18.0,23.844155844155843,04-01-2011,86.27252291,38.554
110,Oldsmobile,Alero,18.07297520661157,Passenger,18.27,2.4,150.0,107.0,70.1,186.7,2.958,15.0,27.0,10/20/2009,60.72744693,80.255
111,Oldsmobile,Aurora,19.89,Passenger,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,2/18/2011,103.4416926,14.69
112,Oldsmobile,Bravada,19.925,Car,31.598,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,9/21/2011,80.51167259,20.017
113,Oldsmobile,Silhouette,15.24,Car,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,6/25/2011,76.09657042,24.361
114,Plymouth,Neon,7.75,Passenger,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,4/26/2011,52.08489875,32.734
115,Plymouth,Breeze,9.8,Passenger,16.08,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,11/14/2011,53.41189767,5.24
116,Plymouth,Voyager,12.025,Car,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,4/24/2011,60.95118512,24.155
117,Plymouth,Prowler,18.07297520661157,Passenger,43.0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0,6/27/2012,106.9844563,1.872
118,Pontiac,Sunfire,13.79,Passenger,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,1/25/2012,62.0158703,51.645
119,Pontiac,Grand Am,10.29,Passenger,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,11/26/2012,70.38973726,131.097
120,Pontiac,Firebird,17.805,Passenger,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,6/16/2012,81.49272616,19.911
121,Pontiac,Grand Prix,14.01,Passenger,21.665,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,10/15/2012,78.31816813,92.364
122,Pontiac,Bonneville,13.225,Passenger,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,5/18/2011,82.6613556,35.945
123,Pontiac,Montana,18.07297520661157,Car,25.635,3.4,185.0,120.0,72.7,201.3,3.942,25.0,23.0,7/22/2012,76.20843952,39.572
124,Porsche,Boxter,41.25,Passenger,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,2/19/2012,93.4373307,8.982
125,Porsche,Carrera Coupe,60.625,Passenger,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,12/21/2012,134.3909754,1.28
126,Porsche,Carrera Cabrio,67.55,Passenger,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,07-11-2011,135.9147096,1.866
127,Saab,05-Sep,18.07297520661157,Passenger,33.12,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0,11-09-2012,73.50377819,9.191
128,Saab,03-Sep,18.07297520661157,Passenger,26.1,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23.0,06-12-2011,76.02304771,12.115
129,Saturn,SL,9.2,Passenger,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,8/16/2012,39.98642475,80.62
130,Saturn,SC,10.59,Passenger,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,3/16/2011,40.70007242,24.546
131,Saturn,SW,10.79,Passenger,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,1/15/2011,49.86577367,5.223
132,Saturn,LW,18.07297520661157,Passenger,18.835,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0,08-05-2011,56.29524304,8.472
133,Saturn,LS,18.07297520661157,Passenger,15.01,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28.0,12-04-2012,54.81972825,49.989
134,Subaru,Outback,18.07297520661157,Passenger,22.695,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25.0,07-07-2011,67.7659076,47.107
135,Subaru,Forester,18.07297520661157,Car,20.095,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24.0,09-10-2012,66.76294331,33.028
136,Toyota,Corolla,10.025,Passenger,13.108,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,04-11-2011,47.96897242,142.535
137,Toyota,Camry,13.245,Passenger,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,02-10-2011,54.37241965,247.994
138,Toyota,Avalon,18.14,Passenger,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,8/31/2011,84.91189826,63.849
139,Toyota,Celica,15.445,Passenger,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,12/29/2012,56.49603034,33.269
140,Toyota,Tacoma,9.575,Car,11.528,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,08-01-2011,55.29711658,84.087
141,Toyota,Sienna,18.07297520661157,Car,22.368,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22.0,10-05-2012,78.02721947,65.119
142,Toyota,RAV4,13.325,Car,16.888,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,05-06-2011,51.95510887,25.106
143,Toyota,4Runner,19.425,Car,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,03-07-2011,62.35557713,68.411
144,Toyota,Land Cruiser,34.08,Car,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,9/25/2011,102.5289842,9.835
145,Volkswagen,Golf,11.425,Passenger,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,1/24/2011,46.94387676,9.761
146,Volkswagen,Jetta,13.24,Passenger,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,8/27/2011,47.63823666,83.721
147,Volkswagen,Passat,16.725,Passenger,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,10/30/2012,61.70138136,51.102
148,Volkswagen,Cabrio,16.575,Passenger,19.99,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,5/31/2011,48.90737225,9.569
149,Volkswagen,GTI,13.76,Passenger,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,04-01-2011,47.94684106,5.596
150,Volkswagen,Beetle,18.07297520661157,Passenger,15.9,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26.0,10/20/2011,47.32963226,49.463
151,Volvo,S40,18.07297520661157,Passenger,23.4,1.9,160.0,100.5,67.6,176.6,2.998,15.8,25.0,2/18/2011,66.1130568,16.957
152,Volvo,V40,18.07297520661157,Passenger,24.4,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0,9/21/2011,66.4988123,3.545
153,Volvo,S70,18.07297520661157,Passenger,27.5,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25.0,11/24/2012,70.65449545,15.245
154,Volvo,V70,18.07297520661157,Passenger,28.8,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25.0,6/25/2011,71.1559776,17.531
155,Volvo,C70,18.07297520661157,Passenger,45.5,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23.0,4/26/2011,101.6233572,3.493
156,Volvo,S80,18.07297520661157,Passenger,36.0,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24.0,11/14/2011,85.73565451,18.969
